STATE,POPULATION,,CV CASES 2020-03-25,,State,CV/Million 2020-03-25,,,Log(CV/Million) (2020-03-25),,STATE,Days Behind New York (2020-03-25)
New York,"19,440,469",,30811,,New York,1584.9,,,7.4,,New York,0.0
New Jersey,"8,936,574",,4402,,New Jersey,492.6,,,6.2,,New Jersey,4.9
Louisiana,"4,645,184",,1705,,Louisiana,367.0,,,5.9,,Louisiana,6.1
Washington,"7,797,095",,2469,,Washington,316.7,,,5.8,,Washington,6.7
Massachusetts,"6,976,597",,1838,,Massachusetts,263.5,,,5.6,,Massachusetts,7.5
District of Columbia,"720,687",,183,,District of Columbia,253.9,,,5.5,,District of Columbia,7.6
Michigan,"10,045,029",,2295,,Michigan,228.5,,,5.4,,Michigan,8.1
Vermont,"628,061",,123,,Vermont,195.8,,,5.3,,Vermont,8.7
Colorado,"5,845,526",,912,,Colorado,156.0,,,5.0,,Colorado,9.7
Illinois,"12,659,682",,1865,,Illinois,147.3,,,5.0,,Illinois,9.9
Tennessee,"6,897,576",,906,,Tennessee,131.4,,,4.9,,Tennessee,10.4
Mississippi,"2,989,260",,377,,Mississippi,126.1,,,4.8,,Mississippi,10.5
Rhode Island,"1,056,161",,132,,Rhode Island,125.0,,,4.8,,Rhode Island,10.6
Delaware,"982,895",,119,,Delaware,121.1,,,4.8,,Delaware,10.7
Georgia,"10,736,059",,1247,,Georgia,116.2,,,4.8,,Georgia,10.9
Maine,"1,345,790",,142,,Maine,105.5,,,4.7,,Maine,11.3
Utah,"3,282,115",,346,,Utah,105.4,,,4.7,,Utah,11.3
Nevada,"3,139,658",,321,,Nevada,102.2,,,4.6,,Nevada,11.4
Wisconsin,"5,851,754",,585,,Wisconsin,100.0,,,4.6,,Wisconsin,11.5
Arkansas,"3,038,999",,280,,Arkansas,92.1,,,4.5,,Arkansas,11.9
Pennsylvania,"12,820,878",,1127,,Pennsylvania,87.9,,,4.5,,Pennsylvania,12.1
South Carolina,"5,210,095",,424,,South Carolina,81.4,,,4.4,,South Carolina,12.4
New Hampshire,"1,371,246",,108,,New Hampshire,78.8,,,4.4,,New Hampshire,12.5
Florida,"21,992,985",,1682,,Florida,76.5,,,4.3,,Florida,12.6
Wyoming,"567,025",,41,,Wyoming,72.3,,,4.3,,Wyoming,12.9
Connecticut,"3,563,077",,257,,Connecticut,72.1,,,4.3,,Connecticut,12.9
California,"39,557,045",,2853,,California,72.1,,,4.3,,California,12.9
Indiana,"6,745,354",,477,,Indiana,70.7,,,4.3,,Indiana,13.0
Maryland,"6,083,116",,423,,Maryland,69.5,,,4.2,,Maryland,13.0
Hawaii,"1,412,687",,90,,Hawaii,63.7,,,4.2,,Hawaii,13.4
Ohio,"11,747,694",,704,,Ohio,59.9,,,4.1,,Ohio,13.6
North Dakota,"761,723",,45,,North Dakota,59.1,,,4.1,,North Dakota,13.7
Missouri,"6,169,270",,356,,Missouri,57.7,,,4.1,,Missouri,13.8
Alabama,"4,908,621",,283,,Alabama,57.7,,,4.1,,Alabama,13.8
Alaska,"734,002",,42,,Alaska,57.2,,,4.0,,Alaska,13.8
Arizona,"7,378,494",,401,,Arizona,54.3,,,4.0,,Arizona,14.1
North Carolina,"10,611,862",,567,,North Carolina,53.4,,,4.0,,North Carolina,14.1
Minnesota,"5,700,671",,287,,Minnesota,50.3,,,3.9,,Minnesota,14.4
Idaho,"1,826,156",,91,,Idaho,49.8,,,3.9,,Idaho,14.4
Montana,"1,086,759",,53,,Montana,48.8,,,3.9,,Montana,14.5
Oregon,"4,301,089",,209,,Oregon,48.6,,,3.9,,Oregon,14.5
New Mexico,"2,096,640",,100,,New Mexico,47.7,,,3.9,,New Mexico,14.6
Iowa,"3,179,849",,145,,Iowa,45.6,,,3.8,,Iowa,14.8
South Dakota,"903,027",,41,,South Dakota,45.4,,,3.8,,South Dakota,14.8
Virginia,"8,626,207",,391,,Virginia,45.3,,,3.8,,Virginia,14.8
Kansas,"2,910,357",,126,,Kansas,43.3,,,3.8,,Kansas,15.0
Oklahoma,"3,954,821",,164,,Oklahoma,41.5,,,3.7,,Oklahoma,15.2
Texas,"29,472,295",,1105,,Texas,37.5,,,3.6,,Texas,15.6
Kentucky,"4,499,692",,163,,Kentucky,36.2,,,3.6,,Kentucky,15.7
Nebraska,"1,952,570",,61,,Nebraska,31.2,,,3.4,,Nebraska,16.4
West Virginia,"1,778,070",,39,,West Virginia,21.9,,,3.1,,West Virginia,17.8
Puerto Rico,"3,032,165",,51,,Puerto Rico,16.8,,,2.8,,Puerto Rico,18.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,https://www.icloud.com/numbers/0BQW1nH3Sk2kadzMnYOIFic_w,,,,,,,,,,,